,Index,imdbId,Uri,Title,IMDB_rating,Genre,Poster,Path,n_faces,dominant_color,median_lightness
137,7706,188404,http://www.imdb.com/title/tt188404,Als je begrijpt wat ik bedoel (1983),7.5,Animation|Family|Fantasy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMmQ3ZGJmYWEtMDU2My00YjBjLWE4MGQtMmZkMDcyMzUxZWJlXkEyXkFqcGdeQXVyNTA2ODYzMTU@._V1_UY268_CR87,0,182,268_AL_.jpg",188404.jpg,0,black,116.0
138,16972,1404653,http://www.imdb.com/title/tt1404653,El Ì¼ltimo verano de la Boyita (2009),7.1,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3MTcwMDQxOF5BMl5BanBnXkFtZTcwMjA2OTgzOQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",1404653.jpg,0,silver,140.0
139,29832,104822,http://www.imdb.com/title/tt104822,Martial Law (1990),4.1,Action|Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjQxODVkNDAtNjhlNS00ZWU1LTljNjUtZDdkMDgyNWZiN2MzXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY268_CR1,0,182,268_AL_.jpg",104822.jpg,0,teal,152.0
140,13176,388556,http://www.imdb.com/title/tt388556,Zebraman (2004),6.7,Comedy|Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzFjMGYzOGQtNjJlZi00ZDI4LTg5MDQtZjc3MmZhMjY2Yzg0XkEyXkFqcGdeQXVyMTIxMDUyOTI@._V1_UY268_CR0,0,182,268_AL_.jpg",388556.jpg,0,black,1.0
141,30869,407612,http://www.imdb.com/title/tt407612,The Brooke Ellison Story (2004),7.1,Biography|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NjY0OTA2Nl5BMl5BanBnXkFtZTcwMTY1NzgyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",407612.jpg,3,white,215.0
142,4548,248845,http://www.imdb.com/title/tt248845,Hedwig and the Angry Inch (2001),7.8,Comedy|Drama|Music,"https://images-na.ssl-images-amazon.com/images/M/MV5BZGY5NWUyNDUtZWJhZi00ZjMxLWFmMjMtYmJhZjVkZGZhNWQ4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",248845.jpg,0,black,142.0
143,12842,891527,http://www.imdb.com/title/tt891527,Lions for Lambs (2007),6.2,Drama|Thriller|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMzc0MzYyM15BMl5BanBnXkFtZTcwMTM2NDk0NA@@._V1_UY268_CR0,0,182,268_AL_.jpg",891527.jpg,3,white,255.0
144,28654,95357,http://www.imdb.com/title/tt95357,Illegally Yours (1988),4.2,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTQ3MTUyNDUwOF5BMl5BanBnXkFtZTcwNTgzNzA2NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",95357.jpg,0,white,255.0
145,12534,918557,http://www.imdb.com/title/tt918557,Saving Sarah Cain (2007),6.1,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMDc2NDcxM15BMl5BanBnXkFtZTgwNjI1NTcwMzE@._V1_UY268_CR7,0,182,268_AL_.jpg",918557.jpg,2,white,162.0
146,10033,371724,http://www.imdb.com/title/tt371724,The Hitchhiker's Guide to the Galaxy (2005),6.8,Adventure|Comedy|Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BZmU5MGU4MjctNjA2OC00N2FhLWFhNWQtMzQyMGI2ZmQ0Y2YyL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",371724.jpg,0,black,124.0
147,25905,1187047,http://www.imdb.com/title/tt1187047,1 1/2 Ritter - Auf der Suche nach der hinreiÌÙenden Herzelinde (2008),3.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MDUzOTk1M15BMl5BanBnXkFtZTcwODkzMjgzMg@@._V1_UY268_CR4,0,182,268_AL_.jpg",1187047.jpg,2,silver,175.0
148,12936,855824,http://www.imdb.com/title/tt855824,Hei yan quan (2006),7.0,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4MjI5MTc2OF5BMl5BanBnXkFtZTcwMDUyNTY1Mw@@._V1_UY268_CR4,0,182,268_AL_.jpg",855824.jpg,0,gray,156.0
149,18202,323250,http://www.imdb.com/title/tt323250,Mike's New Car (2002),7.2,Animation|Short|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4ODMwMDIzOV5BMl5BanBnXkFtZTgwMTEyMDgwMjE@._V1_UX182_CR0,0,182,268_AL_.jpg",323250.jpg,0,olive,156.0
150,11677,67229,http://www.imdb.com/title/tt67229,I Drink Your Blood (1970),6.0,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4Mjg1MzUxNF5BMl5BanBnXkFtZTcwNTAzOTkzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",67229.jpg,0,maroon,117.0
151,35714,1727854,http://www.imdb.com/title/tt1727854,Auk nr 8 (2010),7.7,Documentary|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzNzkzNDgwMl5BMl5BanBnXkFtZTcwODAzMzQ5Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg",1727854.jpg,1,white,176.0
152,9057,104802,http://www.imdb.com/title/tt104802,The Mambo Kings (1992),6.4,Drama|Music,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5MDc1OTM0NF5BMl5BanBnXkFtZTcwNDcyMzAzMQ@@._V1_UY268_CR12,0,182,268_AL_.jpg",104802.jpg,1,white,114.0
153,2025,102250,http://www.imdb.com/title/tt102250,L.A. Story (1991),6.7,Comedy|Drama|Fantasy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NDU3NDA1OV5BMl5BanBnXkFtZTYwOTQzNzI5._V1_UY268_CR3,0,182,268_AL_.jpg",102250.jpg,0,white,247.0
154,39177,84893,http://www.imdb.com/title/tt84893,We of the Never Never (1982),7.0,Drama|History,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1NDYyNzc3NF5BMl5BanBnXkFtZTcwMjY5MTczMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",84893.jpg,0,white,191.0
155,13997,988849,http://www.imdb.com/title/tt988849,Donkey Punch (2008),5.2,Crime|Drama|Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4ODMxODMxM15BMl5BanBnXkFtZTcwNTg5MjAyMg@@._V1_UX182_CR0,0,182,268_AL_.jpg",988849.jpg,0,white,213.0
156,22240,1464535,http://www.imdb.com/title/tt1464535,Fritt vilt III (2010),5.1,Drama|Horror|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTI0MzU3OGMtY2JlYS00YzhlLWE3ZWEtZTkzMzkxN2M1MzE3XkEyXkFqcGdeQXVyMzA3NDI5NTQ@._V1_UY268_CR3,0,182,268_AL_.jpg",1464535.jpg,0,black,31.0
157,22129,146425,http://www.imdb.com/title/tt146425,Always Outnumbered (1998),7.3,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzM5NDI4MjY4NF5BMl5BanBnXkFtZTcwMjY3NjAwMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",146425.jpg,0,black,98.0
158,32106,46937,http://www.imdb.com/title/tt46937,Drums Across the River (1954),6.2,Western,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5MjkyNTU3N15BMl5BanBnXkFtZTcwMDcwNTkxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",46937.jpg,1,black,114.0
159,15343,781435,http://www.imdb.com/title/tt781435,The Duchess of Langeais (2007),6.7,Drama|Music|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxOTMyNzk5MF5BMl5BanBnXkFtZTcwOTE4MjU1MQ@@._V1_UY268_CR0,0,182,268_AL_.jpg",781435.jpg,0,black,38.0
160,12595,827713,http://www.imdb.com/title/tt827713,I Always Wanted to Be a Gangster (2007),7.1,Comedy|Crime|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BODM3YjA3YmItZGI4Ny00MmZjLTg3ODUtYmI1Y2ZkMGU0ZDMzXkEyXkFqcGdeQXVyNTkwMzI4MTI@._V1_UY268_CR7,0,182,268_AL_.jpg",827713.jpg,0,gray,107.0
